;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;4;Almería;04079;Roquetas de Mar;1463;613;224;36;332;227;31;322;37;180;924
202401;Enero de 2024;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;<5;<5;0;0;0;0;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04081;Santa Fe de Mondújar;19;9;<5;0;<5;7;0;12;0;0;7
202401;Enero de 2024;1;Andalucía;4;Almería;04082;Senés;<5;0;<5;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04083;Serón;28;<5;5;0;<5;15;<5;<5;<5;<5;19
202401;Enero de 2024;1;Andalucía;4;Almería;04084;Sierro;5;<5;<5;0;<5;0;0;0;<5;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04085;Somontín;<5;0;<5;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04086;Sorbas;34;9;9;<5;<5;11;0;12;6;0;16
202401;Enero de 2024;1;Andalucía;4;Almería;04087;Suflí;0;0;0;0;0;0;0;0;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04088;Tabernas;87;37;16;<5;10;23;0;12;<5;18;54
202401;Enero de 2024;1;Andalucía;4;Almería;04089;Taberno;6;<5;<5;0;<5;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04090;Tahal;13;5;<5;0;<5;<5;0;<5;<5;<5;6
202401;Enero de 2024;1;Andalucía;4;Almería;04091;Terque;15;0;7;0;<5;7;0;<5;0;0;11
202401;Enero de 2024;1;Andalucía;4;Almería;04092;Tíjola;46;8;14;0;5;18;<5;12;0;7;27
202401;Enero de 2024;1;Andalucía;4;Almería;04093;Turre;46;22;6;0;7;11;0;9;0;5;32
202401;Enero de 2024;1;Andalucía;4;Almería;04094;Turrillas;6;0;<5;0;0;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04095;Uleila del Campo;14;<5;7;0;<5;<5;0;<5;0;<5;11
202401;Enero de 2024;1;Andalucía;4;Almería;04096;Urrácal;5;0;<5;0;0;<5;0;5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04097;Velefique;0;0;0;0;0;0;0;0;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04098;Vélez-Blanco;23;6;7;0;<5;8;0;7;0;<5;12
202401;Enero de 2024;1;Andalucía;4;Almería;04099;Vélez-Rubio;130;35;19;<5;23;51;<5;9;19;8;94
202401;Enero de 2024;1;Andalucía;4;Almería;04100;Vera;310;109;77;5;47;62;10;61;<5;30;216
202401;Enero de 2024;1;Andalucía;4;Almería;04101;Viator;225;94;28;14;18;62;9;5;8;35;177
202401;Enero de 2024;1;Andalucía;4;Almería;04102;Vícar;611;203;101;7;126;171;<5;202;22;33;354
202401;Enero de 2024;1;Andalucía;4;Almería;04103;Zurgena;22;9;<5;<5;0;7;0;7;0;5;10
202401;Enero de 2024;1;Andalucía;4;Almería;04901;Tres Villas, Las;15;<5;7;0;<5;<5;0;<5;0;<5;11
202401;Enero de 2024;1;Andalucía;4;Almería;04902;Ejido, El;3165;1027;624;73;538;858;45;1194;112;109;1750
202401;Enero de 2024;1;Andalucía;4;Almería;04903;Mojonera, La;487;119;65;30;61;197;15;210;12;5;260
202401;Enero de 2024;1;Andalucía;4;Almería;04904;Balanegra;23;11;5;0;<5;<5;<5;12;<5;0;10
202401;Enero de 2024;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;173;23;108;<5;13;25;<5;110;<5;10;51
202401;Enero de 2024;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;327;14;110;<5;7;194;0;193;<5;11;122
202401;Enero de 2024;1;Andalucía;11;Cádiz;11003;Algar;22;5;9;0;<5;7;0;<5;0;9;12
202401;Enero de 2024;1;Andalucía;11;Cádiz;11004;Algeciras;1531;363;445;71;189;427;36;14;116;128;1273
202401;Enero de 2024;1;Andalucía;11;Cádiz;11005;Algodonales;153;5;57;0;11;79;<5;89;0;<5;60
202401;Enero de 2024;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;591;120;203;8;68;186;6;185;29;95;282
202401;Enero de 2024;1;Andalucía;11;Cádiz;11007;Barbate;306;96;45;<5;72;82;9;26;40;32;208
202401;Enero de 2024;1;Andalucía;11;Cádiz;11008;Barrios, Los;900;137;478;14;71;187;13;78;279;129;414
202401;Enero de 2024;1;Andalucía;11;Cádiz;11009;Benaocaz;5;0;<5;0;0;<5;<5;0;<5;0;<5
202401;Enero de 2024;1;Andalucía;11;Cádiz;11010;Bornos;66;14;19;0;<5;27;<5;17;<5;18;30
202401;Enero de 2024;1;Andalucía;11;Cádiz;11011;Bosque, El;49;<5;25;<5;<5;15;<5;7;7;<5;33
202401;Enero de 2024;1;Andalucía;11;Cádiz;11012;Cádiz;3811;469;1528;63;396;1266;89;47;201;155;3408
202401;Enero de 2024;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;54;13;14;0;6;20;<5;9;0;5;40
202401;Enero de 2024;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;404;193;70;<5;67;68;<5;16;10;123;255
202401;Enero de 2024;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;1101;345;284;79;120;212;61;<5;119;287;691
202401;Enero de 2024;1;Andalucía;11;Cádiz;11016;Chipiona;458;143;104;6;107;89;9;131;8;60;259
202401;Enero de 2024;1;Andalucía;11;Cádiz;11017;Espera;93;14;22;<5;22;29;<5;34;0;17;42
202401;Enero de 2024;1;Andalucía;11;Cádiz;11018;Gastor, El;19;<5;<5;0;0;13;0;9;0;<5;8
202401;Enero de 2024;1;Andalucía;11;Cádiz;11019;Grazalema;65;<5;32;0;0;27;<5;<5;<5;<5;57
202401;Enero de 2024;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;5409;1014;1799;107;561;1801;127;576;296;570;3967
202401;Enero de 2024;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;183;61;72;<5;14;29;<5;100;<5;14;66
202401;Enero de 2024;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;690;129;144;12;90;294;21;9;18;49;614
202401;Enero de 2024;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;186;32;56;<5;25;66;<5;20;13;22;131
202401;Enero de 2024;1;Andalucía;11;Cádiz;11024;Olvera;274;24;113;<5;16;117;0;150;11;15;98
202401;Enero de 2024;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;42;18;12;0;6;6;0;<5;<5;23;16
202401;Enero de 2024;1;Andalucía;11;Cádiz;11026;Prado del Rey;107;7;43;<5;8;42;5;7;28;21;51
202401;Enero de 2024;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;2000;482;549;47;269;617;36;72;151;204;1573
202401;Enero de 2024;1;Andalucía;11;Cádiz;11028;Puerto Real;811;207;335;30;55;164;20;16;246;103;446
